Year,Antarctic Sea Ice,Artic Sea Ice,Ice Shelf Calving,Ice Shelf Thinning,Antarctica,Greenland,Glacier,Snow
1994,0,0,0,0,0,0,0,0
1995,-559.6451782,-427.2291626,-534.3324341,-546.5285341,-675.5685341,-752.3685341,-933.1015341,-839.0151184
1996,-235.5771557,-2554.944006,-2733.422278,-2747.278178,-2913.488178,-3153.628178,-3596.413178,-3556.763924
1997,-698.6622767,-547.4479126,-797.4054321,-793.8998221,-988.8898221,-1123.269822,-1722.472822,-1592.746952
1998,-810.4442182,-830.0670532,-1206.969641,-1198.614021,-1425.914021,-1526.524021,-2465.643021,-2075.234975
1999,-922.4098088,-1793.192053,-2297.040198,-2327.080488,-2576.810488,-2826.010488,-4029.078488,-3808.359809
2000,-645.9348799,-2497.447912,-3337.699377,-3452.521167,-3780.981167,-4058.301167,-5540.846167,-5138.92844
2001,-399.9955441,-2620.233069,-3768.405188,-3975.174978,-4331.904978,-4643.324978,-6282.632478,-6059.404417
2002,-1012.550894,-2124.231116,-3604.863684,-3888.600474,-4266.310474,-4620.820474,-6455.327474,-6165.890824
2003,-92.3413757,-2798.865881,-4418.886145,-4811.174935,-5217.874935,-5691.804935,-7745.767935,-7599.724472
2004,106.6476382,-3878.817053,-5638.225256,-6219.696046,-6722.406046,-7361.376046,-9637.473713,-9550.248415
2005,-566.3387496,-3716.692053,-5615.48844,-6466.90423,-7048.52423,-7872.31423,-10462.3489,-10397.27314
2006,-407.0564135,-4598.020178,-6636.203283,-7784.989073,-8383.499073,-9391.789073,-12226.23957,-12169.36148
2007,-303.7100859,-5449.180334,-7626.751623,-9087.897413,-9781.757413,-11008.16741,-14116.47291,-14104.57255
2008,436.2172622,-5763.344397,-8080.303381,-9873.879171,-10775.45917,-12240.43917,-15679.79634,-15705.52536
2009,-65.74899044,-5269.814123,-7726.160803,-9867.066593,-10882.52659,-12573.48659,-16218.16476,-16332.37512
2010,68.5002284,-6099.424475,-8695.15885,-11142.26464,-12246.87464,-14180.07464,-18180.04597,-18289.37471
2011,-397.2443061,-7406.6276,-10141.74967,-12805.47546,-14139.46546,-16395.67546,-20673.40379,-21112.4374
2012,181.4741398,-7917.027991,-10791.53776,-13584.44355,-15066.42355,-17667.31355,-22202.79813,-22609.39917
2013,1354.867512,-8344.737951,-11358.6359,-14246.59169,-15937.97169,-18872.15169,-23593.14994,-24371.55422
2014,1575.956505,-5854.746741,-9008.031897,-11986.40769,-13947.53769,-17101.58769,-22238.80685,-23008.63185
2015,1311.952223,-6231.117834,-9523.791174,-12558.02696,-14780.84696,-18150.89696,-23566.31196,-24552.12667
2016,-782.7508131,-7531.697912,-10963.75846,-13985.06425,-16462.72425,-20036.34425,-25768.08742,-26959.23088
2017,-923.5108287,-8118.427405,-11689.87565,-14661.95144,-17206.63144,-21027.45144,-27141.23427,-28647.09966
